timestamp_ms,timestamp_iso,event,symbol,side,qty,entry_price,exit_price,pnl_pct,reason
1774520723602,2026-03-26 10:25:23,ENTRY,KNCUSDT,BUY,67.70480704129993,0.1477,,,ENTRY
1774520900716,2026-03-26 10:28:20,EXIT,KNCUSDT,SELL,67.70480704129993,0.1477,0.1539,4.197698036560603,TP_3
1774523799740,2026-03-26 11:16:39,ENTRY,DYMUSDT,BUY,315.2585119798235,0.03172,,,ENTRY
1774523972315,2026-03-26 11:19:32,EXIT,DYMUSDT,SELL,315.2585119798235,0.03172,0.03054,-3.720050441361908,SL
1774528104959,2026-03-26 12:28:24,ENTRY,BASUSDT,SELL,1002.3053021950486,0.009977,,,ENTRY
1774528165572,2026-03-26 12:29:25,ENTRY,ONUSDT,SELL,98.19324430479183,0.10184,,,ENTRY
1774528303971,2026-03-26 12:31:43,EXIT,BASUSDT,BUY,1002.3053021950486,0.009977,0.010317,-3.4078380274631654,SL
1774528604448,2026-03-26 12:36:44,ENTRY,UBUSDT,SELL,351.8648838845883,0.02842,,,ENTRY
1774528943039,2026-03-26 12:42:23,ENTRY,OGNUSDT,BUY,414.9377593360996,0.0241,,,ENTRY
1774528966839,2026-03-26 12:42:46,EXIT,UBUSDT,BUY,117.28829462819613,0.02842,0.02773,2.427867698803658,TP_1
1774529421190,2026-03-26 12:50:21,EXIT,ONUSDT,BUY,98.19324430479183,0.10184,0.10472,-2.8279654359779984,SL
1774529597052,2026-03-26 12:53:17,EXIT,UBUSDT,BUY,234.5765892563922,0.02842,0.02952,-3.8705137227304722,SL
1774529658326,2026-03-26 12:54:18,EXIT,OGNUSDT,SELL,414.9377593360996,0.0241,0.0228,-5.3941908713692905,SL
1774529837218,2026-03-26 12:57:17,ENTRY,GTCUSDT,BUY,108.69565217391305,0.092,,,ENTRY
1774530011383,2026-03-26 13:00:11,EXIT,GTCUSDT,SELL,108.69565217391305,0.092,0.088,-4.347826086956526,SL
1774532404803,2026-03-26 13:40:04,ENTRY,COLLECTUSDT,SELL,191.49751053236307,0.05222,,,ENTRY
1774532596259,2026-03-26 13:43:16,ENTRY,PARTIUSDT,BUY,115.72734637194769,0.08641,,,ENTRY
1774532801173,2026-03-26 13:46:41,ENTRY,UBUSDT,BUY,356.6333808844508,0.02804,,,ENTRY
1774532956800,2026-03-26 13:49:16,EXIT,PARTIUSDT,SELL,115.72734637194769,0.08641,0.09235,6.874204374493694,TP_3
1774533003156,2026-03-26 13:50:03,EXIT,UBUSDT,SELL,356.6333808844508,0.02804,0.02906,3.637660485021398,TP_3
1774533044035,2026-03-26 13:50:44,ENTRY,BASUSDT,SELL,1149.4252873563219,0.0087,,,ENTRY
1774533078352,2026-03-26 13:51:18,ENTRY,FOLKSUSDT,BUY,8.620689655172415,1.16,,,ENTRY
1774533248519,2026-03-26 13:54:08,ENTRY,CELRUSDT,BUY,3610.1083032490974,0.00277,,,ENTRY
1774533261460,2026-03-26 13:54:21,EXIT,COLLECTUSDT,BUY,191.49751053236307,0.05222,0.05498,-5.285331290693218,SL
1774533540038,2026-03-26 13:59:00,ENTRY,PTBUSDT,SELL,5543.2372505543235,0.001804,,,ENTRY
1774534434737,2026-03-26 14:13:54,EXIT,BASUSDT,BUY,1149.4252873563219,0.0087,0.009162,-5.310344827586214,SL
1774535630371,2026-03-26 14:33:50,EXIT,PTBUSDT,BUY,5543.2372505543235,0.001804,0.001717,4.822616407982264,TP_3
1774535873267,2026-03-26 14:37:53,EXIT,FOLKSUSDT,SELL,2.873563218390805,1.16,1.18,1.7241379310344844,TP_1
1774537352995,2026-03-26 15:02:32,ENTRY,PTBUSDT,SELL,6779.661016949152,0.001475,,,ENTRY
1774537588331,2026-03-26 15:06:28,ENTRY,BTRUSDT,BUY,261.0966057441253,0.0383,,,ENTRY
1774537780466,2026-03-26 15:09:40,EXIT,PTBUSDT,BUY,6779.661016949152,0.001475,0.001573,-6.644067796610169,SL
1774538367140,2026-03-26 15:19:27,ENTRY,APRUSDT,SELL,67.91171477079797,0.14725,,,ENTRY
1774538502545,2026-03-26 15:21:42,EXIT,BTRUSDT,SELL,87.03220191470845,0.0383,0.03904,1.932114882506521,TP_1
1774538711872,2026-03-26 15:25:11,ENTRY,ENJUSDT,BUY,461.68051708217916,0.02166,,,ENTRY
1774538759114,2026-03-26 15:25:59,EXIT,FOLKSUSDT,SELL,2.873563218390805,1.16,1.198,3.2758620689655205,TP_2
1774538859281,2026-03-26 15:27:39,EXIT,ENJUSDT,SELL,461.68051708217916,0.02166,0.02099,-3.0932594644505866,SL
1774538950122,2026-03-26 15:29:10,EXIT,FOLKSUSDT,SELL,2.873563218390805,1.16,1.213,4.568965517241393,TP_3
1774540418395,2026-03-26 15:53:38,EXIT,BTRUSDT,SELL,174.06440382941688,0.0383,0.03724,-2.7676240208877245,SL
1774540776037,2026-03-26 15:59:36,EXIT,CELRUSDT,SELL,3610.1083032490974,0.00277,0.00268,-3.2490974729241806,SL
1774540962745,2026-03-26 16:02:42,ENTRY,ONUSDT,BUY,85.70449091532396,0.11668,,,ENTRY
1774541571294,2026-03-26 16:12:51,EXIT,ONUSDT,SELL,85.70449091532396,0.11668,0.11091,-4.945149125814202,SL
1774542882428,2026-03-26 16:34:42,ENTRY,BLESSUSDT,SELL,1493.4289127837515,0.006696,,,ENTRY
1774543197602,2026-03-26 16:39:57,EXIT,BLESSUSDT,BUY,1493.4289127837515,0.006696,0.006458,3.5543608124253208,TP_3
1774544241958,2026-03-26 16:57:21,ENTRY,UBUSDT,SELL,384.7633705271258,0.02599,,,ENTRY
1774544451941,2026-03-26 17:00:51,EXIT,UBUSDT,BUY,384.7633705271258,0.02599,0.02722,-4.732589457483655,SL
1774546124721,2026-03-26 17:28:44,EXIT,APRUSDT,BUY,22.637238256932662,0.14725,0.14499,1.5348047538200233,TP_1
